time,time_step,population,births,deaths,birth_rate,death_rate,msd,speed_var,food_var,pheromone_var,speed_variance,food_sense_variance,pheromone_sense_variance,reproduction_energy_variance,max_cluster,max_cluster_size,num_clusters,avg_energy,avg_generation,lineage_count
72,72,20,0,0,0.0,0.0,0.046995,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.571857,0.0,20
73,73,20,0,0,0.0,0.0,0.046138,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.56657,0.0,20
74,74,20,0,0,0.0,0.0,0.045399,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.559201,0.0,20
75,75,20,0,0,0.0,0.0,0.044757,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.553909,0.0,20
76,76,20,0,0,0.0,0.0,0.044548,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.546533,0.0,20
77,77,20,0,0,0.0,0.0,0.044145,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.541238,0.0,20
78,78,20,0,0,0.0,0.0,0.043765,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.533853,0.0,20
79,79,20,0,0,0.0,0.0,0.043383,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.528553,0.0,20
80,80,20,0,0,0.0,0.0,0.043263,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.52116,0.0,20
81,81,20,0,0,0.0,0.0,0.043076,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.515856,0.0,20
82,82,20,0,0,0.0,0.0,0.043074,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.508455,0.0,20
83,83,20,0,0,0.0,0.0,0.043171,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.503148,0.0,20
84,84,20,0,0,0.0,0.0,0.043721,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.49574,0.0,20
85,85,20,0,0,0.0,0.0,0.044202,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.49043,0.0,20
86,86,20,0,0,0.0,0.0,0.044961,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.483013,0.0,20
87,87,20,0,0,0.0,0.0,0.045605,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.4777,0.0,20
88,88,20,0,0,0.0,0.0,0.046316,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.470276,0.0,20
89,89,20,0,0,0.0,0.0,0.047035,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.46496,0.0,20
90,90,20,0,0,0.0,0.0,0.04803,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.457528,0.0,20
91,91,20,0,0,0.0,0.0,0.04901,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.452209,0.0,20
92,92,20,0,0,0.0,0.0,0.050157,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.44477,0.0,20
93,93,20,0,0,0.0,0.0,0.051365,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.43945,0.0,20
94,94,20,0,0,0.0,0.0,0.052993,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.432003,0.0,20
95,95,20,0,0,0.0,0.0,0.054595,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.426676,0.0,20
96,96,20,0,0,0.0,0.0,0.056676,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.419222,0.0,20
97,97,20,0,0,0.0,0.0,0.058665,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.41389,0.0,20
98,98,20,0,0,0.0,0.0,0.061058,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.406429,0.0,20
99,99,20,0,0,0.0,0.0,0.06333,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.40109,0.0,20
100,100,20,0,0,0.0,0.0,0.065888,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.393621,0.0,20
101,101,20,0,0,0.0,0.0,0.068316,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.388277,0.0,20
102,102,20,0,0,0.0,0.0,0.071002,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.380801,0.0,20
103,103,20,0,0,0.0,0.0,0.073583,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.375451,0.0,20
104,104,20,0,0,0.0,0.0,0.076343,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.367969,0.0,20
105,105,20,0,0,0.0,0.0,0.079089,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.362613,0.0,20
106,106,20,0,0,0.0,0.0,0.082129,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.355123,0.0,20
107,107,20,0,0,0.0,0.0,0.085076,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.349762,0.0,20
108,108,20,0,0,0.0,0.0,0.088213,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.342266,0.0,20
109,109,20,0,0,0.0,0.0,0.091352,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.336899,0.0,20
110,110,20,0,0,0.0,0.0,0.094742,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.329396,0.0,20
111,111,20,0,0,0.0,0.0,0.097957,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.324023,0.0,20
112,112,20,0,0,0.0,0.0,0.100959,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.316515,0.0,20
113,113,20,0,0,0.0,0.0,0.104108,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.311136,0.0,20
114,114,20,0,0,0.0,0.0,0.107579,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.303621,0.0,20
115,115,20,0,0,0.0,0.0,0.110883,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.298237,0.0,20
116,116,20,0,0,0.0,0.0,0.114298,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.290716,0.0,20
117,117,20,0,0,0.0,0.0,0.117468,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.285326,0.0,20
118,118,20,0,0,0.0,0.0,0.120624,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.277798,0.0,20
119,119,20,0,0,0.0,0.0,0.123441,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.272402,0.0,20
120,120,20,0,0,0.0,0.0,0.126226,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.264868,0.0,20
121,121,20,0,0,0.0,0.0,0.128676,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.259467,0.0,20
122,122,20,0,0,0.0,0.0,0.131052,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.251926,0.0,20
123,123,20,0,0,0.0,0.0,0.133117,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.24652,0.0,20
124,124,20,0,0,0.0,0.0,0.134989,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.238973,0.0,20
125,125,20,0,0,0.0,0.0,0.136454,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.233562,0.0,20
126,126,20,0,0,0.0,0.0,0.137237,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.226009,0.0,20
